cohort_rank,proxyWallet,name,pseudonym,profit_all,volume_all,lb_sources,profit_best,volume_best,rank_key
77,0x03805a13a0b3e058f55f6c6af95389d4f431073d,donthackme,donthackme,,,profit:30d,567571.2622026891,,567571.2622026891
78,0xc84f7e76ec28ef20e7773b7b4926bfb7378be0c5,BrightStars,BrightStars,,,profit:30d,564837.2072765828,,564837.2072765828
79,0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,Arbguy,Arbguy,,,"profit:1d,profit:30d",544500.2808119238,,544500.2808119238
80,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,0x3DFb153c197D4C19D3B31c1ecD2c7B6860eeabAf-1722957908185,0x3DFb153c197D4C19D3B31c1ecD2c7B6860eeabAf-1722957908185,,,"profit:1d,profit:30d,profit:7d,volume:30d",535974.5745311703,38540007.00933801,535974.5745311703
81,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,ocean322,ocean322,,,"profit:30d,volume:30d",520463.2165378209,38409337.856979996,520463.2165378209
82,0xfd22b8843ae03a33a8a4c5e39ef1e5ff33ebad91,AML,AML,,,"profit:1d,profit:30d",509322.5186077936,,509322.5186077936
83,0xcf6c5492124794394dd9eac46498a8babbe47e66,one8tyfive,one8tyfive,,,profit:30d,503781.72227068036,,503781.72227068036
84,0xe16d3f2a5807999b358affd9445c3a09e45e5e30,0xE16D3F2A5807999b358aFfD9445C3a09E45E5e30-1776429210592,0xE16D3F2A5807999b358aFfD9445C3a09E45E5e30-1776429210592,,,profit:30d,501031.34208280314,,501031.34208280314
85,0xad9c94a65d1f053b8bb31815865a0d4c64b69889,jalenbrunson-official,jalenbrunson-official,,,profit:30d,500367.5779277976,,500367.5779277976
86,0x198a38b9704cf3a5ed321f28c8a7836559676762,muraibatu808,muraibatu808,,,profit:30d,493493.1462686907,,493493.1462686907
87,0xe9a6ed2e4d4ee8ce47cd47cac834746dc4cf627b,Oneger,Oneger,,,"profit:1d,profit:30d",492965.7425174391,,492965.7425174391
88,0x987b441a20dd4aa4ba6d53069e852e7f820adf43,lighthousefamily,lighthousefamily,,,profit:30d,483296.94207321556,,483296.94207321556
89,0x74471a007ddcc488f6d57b5e86dfb35a8d48a16d,tetrose,tetrose,,,profit:30d,456088.9159125789,,456088.9159125789
90,0xea2b4224411e723499a803ce3f4758779fb31fc6,frankfrankfrank,frankfrankfrank,,,profit:1d,344406.62537122035,,344406.62537122035
91,0xdc71bed951076a6dfd27f6a341c441b8543ed033,0xDc71bED951076a6dfd27f6A341C441B8543ED033-1760135940099,0xDc71bED951076a6dfd27f6A341C441B8543ED033-1760135940099,,,profit:1d,329625.44077336555,,329625.44077336555
92,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,suntori,,336225430.0461781,"profit:1d,profit:7d,volume:30d,volume:all",302976.27495628287,336225430.0461781,302976.27495628287
93,0x08fff5b9a79576a7c6e18a9d05ece0658a34ba79,krazyagain,krazyagain,,,"profit:1d,volume:30d",300952.87758374703,78834402.37468502,300952.87758374703
94,0xf751fbd76257ad498e02c1da257ac6e31df0fec8,0xF751fbD76257AD498e02C1dA257aC6E31DF0FeC8-1780152076667,0xF751fbD76257AD498e02C1dA257aC6E31DF0FeC8-1780152076667,,,profit:1d,284216.4556616728,,284216.4556616728
95,0x132f78734e5fecba945c24d5c49cd84d8c0f453b,TurretOnX,TurretOnX,,,"profit:1d,profit:7d",262228.38650563,,262228.38650563
96,0x84cfffc3f16dcc353094de30d4a45226eccd2f63,mooseborzoi,mooseborzoi,,,"profit:1d,profit:7d,volume:30d",230137.4196601294,87096603.25661299,230137.4196601294
97,0x07921379f7b31ef93da634b688b2fe36897db778,ewelmealt,ewelmealt,,,profit:1d,229454.16564283974,,229454.16564283974
98,0x32b484581fc5606de9c1e43af4636b6be9bc8b21,0x32b484581fc5606dE9C1e43AF4636b6Be9BC8B21-1774274303653,0x32b484581fc5606dE9C1e43AF4636b6Be9BC8B21-1774274303653,,,"profit:1d,profit:7d",222953.38859999762,,222953.38859999762
99,0x85f031d069de300055900c4055c1baeb6bde3f67,RJW1,RJW1,,,"profit:1d,profit:7d",212095.16617674334,,212095.16617674334
100,0x5c3a1a602848565bb16165fcd460b00c3d43020b,Crystiano,Crystiano,,,"profit:1d,profit:7d",200990.34903637442,,200990.34903637442
